MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,Unibet_H,Unibet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Pinnacle_H,Pinnacle_A,William Hill_H,William Hill_A,Marathonbet_H,Marathonbet_A,1xBet_H,1xBet_A,Coolbet_H,Coolbet_A,Betago_H,Betago_A
3085,2019-2020,Yalova Bld.,Duzce Belediye,2020-01-25,76,62,Na,Na,1.18,3.95,Na,Na,1.2,4.0,Na,Na,Na,Na,1.14,5.25,1.14,5.35,1.15,5.3,Na,Na
3086,2019-2020,Mamak Bld.,Final Spor,2020-01-25,73,71,Na,Na,1.65,2.02,Na,Na,1.65,2.1,Na,Na,Na,Na,1.65,2.16,1.68,2.13,1.68,2.15,Na,Na
3087,2019-2020,Merkezefendi,Samsun,2020-01-24,73,63,Na,Na,1.09,5.4,Na,Na,1.1,6.0,Na,Na,Na,Na,1.08,6.8,1.09,6.9,1.15,5.3,Na,Na
3088,2019-2020,Bornova,Manisa,2020-01-24,73,68,Na,Na,1.82,1.82,Na,Na,1.85,1.85,Na,Na,Na,Na,2.04,1.73,2.02,1.75,2.03,1.76,1.75,1.8
3089,2019-2020,Bandirma Kirmizi,Konyaspor,2020-12-01,79,61,Na,Na,1.4,2.6,Na,Na,1.42,2.65,Na,Na,Na,Na,1.39,2.85,1.4,2.84,1.27,3.67,Na,Na
3090,2019-2020,Akhisar Belediye,Anadolu Basket,2020-11-01,79,74,1.05,9.0,1.02,8.3,Na,Na,1.03,9.25,Na,Na,Na,Na,Na,Na,1.03,10.5,1.12,6.0,Na,Na
3091,2019-2020,Duzce Belediye,Samsun,2020-11-01,57,58,Na,Na,1.3,3.0,Na,Na,1.36,2.9,Na,Na,Na,Na,1.33,3.14,1.34,3.1,1.74,2.06,Na,Na
3092,2019-2020,Fethiye Bld.,Yalova Bld.,2020-11-01,83,80,Na,Na,1.1,5.2,Na,Na,1.12,5.25,Na,Na,Na,Na,1.12,5.65,1.12,5.75,1.2,4.4,Na,Na
3093,2019-2020,Gemlik,Socar Spor,2020-11-01,76,90,Na,Na,4.5,1.14,Na,Na,4.75,1.15,Na,Na,Na,Na,5.05,1.15,5.15,1.14,3.51,1.29,Na,Na
3094,2019-2020,Mamak Bld.,Balikesir,2020-11-01,90,76,Na,Na,2.85,1.33,Na,Na,3.8,1.22,Na,Na,Na,Na,3.4,1.29,2.9,1.37,3.31,1.32,Na,Na
3095,2019-2020,Merkezefendi,Manisa,2020-10-01,65,60,Na,Na,1.9,1.75,Na,Na,2.0,1.72,Na,Na,Na,Na,1.8,1.95,1.82,1.94,1.85,1.93,1.7,1.9
3096,2019-2020,Bornova,Final Spor,2020-10-01,78,87,Na,Na,1.55,2.2,Na,Na,1.55,2.3,Na,Na,Na,Na,1.59,2.27,1.61,2.26,1.48,2.6,1.5,2.2
3097,2019-2020,Fethiye Bld.,Akhisar Belediye,2020-04-01,75,72,Na,Na,1.55,2.2,Na,Na,1.55,2.3,Na,Na,Na,Na,1.61,2.23,1.63,2.22,1.78,2.01,Na,Na
3098,2019-2020,Yalova Bld.,Samsun,2020-04-01,68,51,Na,Na,1.5,2.3,Na,Na,1.55,2.3,Na,Na,Na,Na,1.55,2.36,1.57,2.34,1.8,1.98,Na,Na
